Unnamed: 0.1,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
376,376.0,,management,married,,,733,yes,no,unknown,6,jun,94.0,7.0,-1,0.0,unknown,no
1302,1302.0,46.0,blue-collar,married,secondary,no,494,yes,no,unknown,26,may,724.0,1.0,-1,0.0,unknown,no
3052,3052.0,40.0,housemaid,married,secondary,no,4610,no,no,cellular,14,aug,154.0,2.0,-1,0.0,unknown,no
2840,2840.0,,services,married,,,557,no,no,unknown,19,jun,58.0,1.0,-1,0.0,unknown,no
1652,,,technician,single,,,-306,,no,unknown,4,jun,,2.0,-1,0.0,unknown,no
3808,3808.0,25.0,technician,single,secondary,no,2157,yes,no,cellular,21,jul,339.0,1.0,-1,0.0,unknown,no
387,387.0,48.0,technician,married,secondary,no,302,yes,no,unknown,26,may,208.0,3.0,-1,0.0,unknown,no
3333,,33.0,admin.,married,secondary,no,0,,no,telephone,17,jul,,7.0,-1,0.0,unknown,yes
1361,,27.0,admin.,single,tertiary,no,73,,no,cellular,29,jan,,1.0,-1,0.0,unknown,no
530,,32.0,services,single,secondary,no,182,,no,cellular,6,may,,1.0,-1,0.0,unknown,no
3390,3390.0,42.0,,married,primary,yes,66,yes,yes,,6,feb,139.0,1.0,-1,,unknown,no
3616,3616.0,45.0,management,single,tertiary,no,16,no,no,cellular,31,jul,59.0,2.0,-1,0.0,unknown,no
2059,2059.0,34.0,blue-collar,married,secondary,no,1412,yes,yes,unknown,27,may,157.0,2.0,-1,0.0,unknown,no
3361,3361.0,53.0,technician,married,,no,6839,yes,,cellular,19,nov,77.0,1.0,-1,0.0,unknown,
1429,1429.0,43.0,blue-collar,married,primary,no,7343,yes,no,unknown,2,jun,217.0,4.0,-1,0.0,unknown,no
371,371.0,60.0,retired,married,primary,no,55,no,no,cellular,4,jun,207.0,1.0,-1,0.0,unknown,no
1717,1717.0,35.0,admin.,single,tertiary,no,62,no,yes,cellular,30,apr,67.0,1.0,-1,0.0,unknown,no
776,776.0,28.0,technician,single,secondary,no,3,no,no,telephone,18,may,40.0,8.0,349,6.0,failure,no
2727,2727.0,27.0,blue-collar,single,primary,no,-179,yes,no,cellular,15,may,54.0,2.0,-1,0.0,unknown,no
3035,3035.0,55.0,unemployed,married,tertiary,no,4809,yes,no,cellular,21,nov,223.0,2.0,186,3.0,other,no
1869,1869.0,44.0,management,married,tertiary,no,773,no,yes,cellular,9,jul,618.0,1.0,-1,0.0,unknown,no
2208,,28.0,blue-collar,married,secondary,no,1325,,no,cellular,15,may,,1.0,-1,0.0,unknown,no
1554,1554.0,36.0,services,married,secondary,no,1328,yes,no,unknown,6,jun,82.0,4.0,-1,0.0,unknown,no
907,,40.0,management,married,,no,60,,,unknown,16,jun,,6.0,-1,0.0,unknown,
2292,2292.0,,technician,single,,,2087,no,no,cellular,29,aug,29.0,14.0,-1,0.0,unknown,no
893,,49.0,management,single,secondary,no,61,,no,cellular,29,jan,,2.0,246,1.0,failure,no
3679,3679.0,31.0,services,married,secondary,no,-230,yes,yes,cellular,16,jul,715.0,1.0,-1,0.0,unknown,no
1186,1186.0,,technician,married,,,383,no,,cellular,27,oct,327.0,2.0,183,3.0,success,
3258,3258.0,38.0,services,married,,no,0,yes,,telephone,28,jul,121.0,2.0,-1,0.0,unknown,
1074,,28.0,technician,divorced,tertiary,no,594,,yes,unknown,18,jun,,3.0,-1,0.0,unknown,no
191,191.0,33.0,self-employed,married,secondary,no,215,yes,no,cellular,29,jul,543.0,12.0,-1,0.0,unknown,no
1047,1047.0,27.0,blue-collar,married,secondary,no,872,yes,no,cellular,17,apr,1130.0,3.0,-1,0.0,unknown,no
2932,2932.0,28.0,management,single,tertiary,no,1351,no,no,cellular,10,dec,267.0,1.0,-1,0.0,unknown,no
3981,3981.0,43.0,blue-collar,single,secondary,no,24,no,no,cellular,12,may,68.0,1.0,363,1.0,failure,no
3364,,40.0,,divorced,secondary,no,1876,,yes,,20,jun,,1.0,-1,,unknown,no
4005,4005.0,55.0,blue-collar,married,primary,no,1086,yes,no,cellular,6,may,146.0,1.0,272,2.0,failure,no
1501,1501.0,,technician,married,,,57,no,no,unknown,28,may,796.0,1.0,-1,0.0,unknown,yes
3901,3901.0,52.0,admin.,married,secondary,no,395,yes,no,unknown,15,may,391.0,3.0,-1,0.0,unknown,no
4024,4024.0,48.0,blue-collar,single,tertiary,no,2330,yes,no,unknown,4,jun,15.0,1.0,-1,0.0,unknown,no
1427,1427.0,49.0,self-employed,married,secondary,no,358,yes,yes,unknown,13,may,176.0,3.0,-1,0.0,unknown,no
4364,4364.0,63.0,retired,divorced,secondary,no,1490,no,no,cellular,8,jun,506.0,1.0,-1,0.0,unknown,yes
2487,2487.0,31.0,unknown,,tertiary,no,137,no,no,cellular,22,aug,,,-1,0.0,unknown,no
2985,,,technician,single,,,16,,no,cellular,13,aug,,1.0,-1,0.0,unknown,yes
2910,2910.0,55.0,services,married,secondary,no,96,no,no,telephone,30,jul,340.0,2.0,-1,0.0,unknown,no
69,69.0,32.0,technician,single,tertiary,no,360,no,no,cellular,19,nov,164.0,2.0,-1,0.0,unknown,no
3239,3239.0,52.0,blue-collar,married,secondary,no,2087,yes,no,cellular,31,aug,267.0,1.0,474,1.0,failure,yes
1264,1264.0,54.0,unemployed,married,primary,no,541,yes,no,cellular,3,feb,237.0,3.0,-1,0.0,unknown,no
1426,1426.0,38.0,entrepreneur,married,secondary,no,157,no,yes,cellular,15,may,57.0,11.0,366,1.0,other,no
2531,2531.0,67.0,,married,,no,696,no,,,4,may,77.0,2.0,-1,,unknown,
2647,2647.0,52.0,management,married,tertiary,no,575,no,no,unknown,3,jun,315.0,1.0,-1,0.0,unknown,no
3340,3340.0,49.0,entrepreneur,married,primary,no,199,no,no,unknown,13,may,113.0,2.0,-1,0.0,unknown,no
683,,30.0,,single,tertiary,no,985,,no,,19,feb,,2.0,-1,,unknown,no
2677,,60.0,retired,married,primary,no,0,,no,telephone,30,jul,,3.0,-1,0.0,unknown,no
3725,3725.0,49.0,unemployed,married,primary,no,-384,yes,no,unknown,27,may,25.0,1.0,-1,0.0,unknown,no
