Unnamed: 0.1,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
376,39.0,9,0,3,0,733,2,0,2,6,4,94.0,7.0,-1,0.0,3,0
1302,46.0,0,0,1,0,494,2,0,2,26,0,724.0,1.0,-1,0.0,3,0
3052,40.0,6,0,1,0,4610,0,0,0,14,5,154.0,2.0,-1,0.0,3,0
2840,39.0,2,0,3,0,557,0,0,2,19,4,58.0,1.0,-1,0.0,3,0
1652,39.0,4,1,3,0,-306,1,0,2,4,4,10.0,2.0,-1,0.0,3,0
3808,25.0,4,1,1,0,2157,2,0,0,21,1,339.0,1.0,-1,0.0,3,0
387,48.0,4,0,1,0,302,2,0,2,26,0,208.0,3.0,-1,0.0,3,0
3333,33.0,8,0,1,0,0,1,0,1,17,1,10.0,7.0,-1,0.0,3,1
1361,27.0,8,1,2,0,73,1,0,0,29,2,10.0,1.0,-1,0.0,3,0
530,32.0,2,1,1,0,182,1,0,0,6,0,10.0,1.0,-1,0.0,3,0
3390,42.0,7,0,0,1,66,2,1,2,6,6,139.0,1.0,-1,0.0,3,0
3616,45.0,9,1,2,0,16,0,0,0,31,1,59.0,2.0,-1,0.0,3,0
2059,34.0,0,0,1,0,1412,2,1,2,27,0,157.0,2.0,-1,0.0,3,0
3361,53.0,4,0,3,0,6839,2,0,0,19,3,77.0,1.0,-1,0.0,3,0
1429,43.0,0,0,0,0,7343,2,0,2,2,4,217.0,4.0,-1,0.0,3,0
371,60.0,11,0,0,0,55,0,0,0,4,4,207.0,1.0,-1,0.0,3,0
1717,35.0,8,1,2,0,62,0,1,0,30,7,67.0,1.0,-1,0.0,3,0
776,28.0,4,1,1,0,3,0,0,1,18,0,40.0,8.0,349,6.0,0,0
2727,27.0,0,1,0,0,-179,2,0,0,15,0,54.0,2.0,-1,0.0,3,0
3035,55.0,3,0,2,0,4809,2,0,0,21,3,223.0,2.0,186,3.0,1,0
1869,44.0,9,0,2,0,773,0,1,0,9,1,618.0,1.0,-1,0.0,3,0
2208,28.0,0,0,1,0,1325,1,0,0,15,0,10.0,1.0,-1,0.0,3,0
1554,36.0,2,0,1,0,1328,2,0,2,6,4,82.0,4.0,-1,0.0,3,0
907,40.0,9,0,3,0,60,1,0,2,16,4,10.0,6.0,-1,0.0,3,0
2292,39.0,4,1,3,0,2087,0,0,0,29,5,29.0,14.0,-1,0.0,3,0
893,49.0,9,1,1,0,61,1,0,0,29,2,10.0,2.0,246,1.0,0,0
3679,31.0,2,0,1,0,-230,2,1,0,16,1,715.0,1.0,-1,0.0,3,0
1186,39.0,4,0,3,0,383,0,0,0,27,11,327.0,2.0,183,3.0,2,0
3258,38.0,2,0,3,0,0,2,0,1,28,1,121.0,2.0,-1,0.0,3,0
1074,28.0,4,2,2,0,594,1,1,2,18,4,10.0,3.0,-1,0.0,3,0
191,33.0,5,0,1,0,215,2,0,0,29,1,543.0,12.0,-1,0.0,3,0
1047,27.0,0,0,1,0,872,2,0,0,17,7,1130.0,3.0,-1,0.0,3,0
2932,28.0,9,1,2,0,1351,0,0,0,10,9,267.0,1.0,-1,0.0,3,0
3981,43.0,0,1,1,0,24,0,0,0,12,0,68.0,1.0,363,1.0,0,0
3364,40.0,7,2,1,0,1876,1,1,2,20,4,10.0,1.0,-1,0.0,3,0
4005,55.0,0,0,0,0,1086,2,0,0,6,0,146.0,1.0,272,2.0,0,0
1501,39.0,4,0,3,0,57,0,0,2,28,0,796.0,1.0,-1,0.0,3,1
3901,52.0,8,0,1,0,395,2,0,2,15,0,391.0,3.0,-1,0.0,3,0
4024,48.0,0,1,2,0,2330,2,0,2,4,4,15.0,1.0,-1,0.0,3,0
1427,49.0,5,0,1,0,358,2,1,2,13,0,176.0,3.0,-1,0.0,3,0
4364,63.0,11,2,1,0,1490,0,0,0,8,4,506.0,1.0,-1,0.0,3,1
2487,31.0,7,0,2,0,137,0,0,0,22,5,10.0,0.0,-1,0.0,3,0
